PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Description of Gene	Interacting Gene	CellOntologyID
7503811	DDIT3	TF	Liposarcoma cell	Cancer cell	Adipose	low-throughput	Western blot	Fusion of the dominant negative transcription regulator CHOP with a novel gene FUS by translocation t(12;16) in malignant liposarcoma	We show that the translocation in malignant myxoid liposarcoma can be a fusion of the CHOP dominant negative transcription factor gene with a novel gene.	FUS	
7503811	FUS	I Marker	Liposarcoma cell	Cancer cell	Adipose	low-throughput	Western blot	Fusion of the dominant negative transcription regulator CHOP with a novel gene FUS by translocation t(12;17) in malignant liposarcoma	FUS, which can result in fusion of the FUS glycine-rich protein with the whole CHOP coding region.	DDIT3	
7915745	HOXC4	TFMarker	epithelial cell	Cancer cell	Skin	low-throughput + high-throughput	RT-PCR;DNA-seq;Microscopic observation	Expression of the homeobox gene HOXC4 in keratinocytes of normal skin and epithelial skin tumors is correlated with differentiation	HOXC4 is expressed mainly in differentiated keratinocytes. Lack of differentiation (as in neoplastic cells) is accompanied by downregulation o HOXC4 eTipression.	KRT10	
7915745	KRT10	TFMarker	epithelial cell	Cancer cell	Skin	low-throughput + high-throughput	RT-PCR;DNA-seq;Microscopic observation	Expression of the homeobox gene HOXC4 in keratinocytes of normal skin and epithelial skin tumors is correlated with differentiation	Further study of epidermal neoplasms with RISH and cytokeratin 10 (CK10) immunostaining revealed a similar distribution pattern C3( HOXC4 and CKIO expression in atypical and neoplastic keratinocytes.	HOXC4	
7957668	FOXA1	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	Western blot;Microscopic observation;Immunofluorescent staining	Hepatocytic Transcription Factor Expression in Human EmbryonalCarcinoma and Yolk Sac Carcinoma Cell Lines: Expression of HNF 3a in Models of Early Endodermal Cell Differentiation	He-patocytic transcription factors, especially HNF-3A, may play an important role in early human endodermal differentiation.	HNF1A	CL_0000182
7957668	HNF1A	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	Western blot;Microscopic observation;Immunofluorescent staining	Hepatocytic Transcription Factor Expression in Human EmbryonalCarcinoma and Yolk Sac Carcinoma Cell Lines: Expression of HNF 3a in Models of Early Endodermal Cell Differentiation	We found that a yolk sac carcinoma cell line with a phenotype similar to rodent visceral endoderm expressed transcripts for HNF-1A.	FOXA1	CL_0000182
8477653	GAP43	TFMarker	Nerve cell	Cancer cell	Brain	low-throughput	Western blot	Insulin-Like Growth Factor I Regulates c-wtyc and GAP-43 Messenger Ribonucleic Acid Expression in SH-SY5Y Human Neuroblastoma Cells	Insulin-Like growth factor I regulates c-wtyc and GAP-43 messenger ribonucleic acid expression in SH-SY5Y human neuroblastoma cells.	IGF1	CL_0002319
8477653	IGF1	TFMarker	Nerve cell	Cancer cell	Brain	low-throughput	Western blot	Insulin-Like Growth Factor I Regulates c-wtyc and GAP-43 Messenger Ribonucleic Acid Expression in SH-SY5Y Human Neuroblastoma Cells	IGF-I is a neurotrophic factor which exhibits developmental- and region-specific regulation in the human brain.	GAP43	CL_0002319
8782819	MITF	TF	Melanocytes cell	Cancer cell	Skin	low-throughput	Western blot	Ectopic expression of MITF, a gene for Waardenburg syndrome type 2, converts fibroblasts to cells with melanocyte characteristics	ectopic expression of MITF converts NIH/3T3 fibroblasts into cells with characteristics of melanocytes.		
8814256	IL2	T Marker	T cell	Cancer cell	Lymph	low-throughput	Flow-throughput cytometry;Western blot	Severe combined immunodeficiency due to defective binding of the nuclear factor of activated T cells in T lymphocytes of two male siblings	Furthermore both childrens' T cells were unable to produce the cytokines IL-2, interferon-y (IFN-y), IL-4 and tumor necrosis factor-a (TNF-a).	JUN	CL_0000084
